jobId,4x4,enqueued_time,started_working_time,finished_time
266e732c-371c-454f-b87c-6f83733fe023,n4j6-wkkf,2016-04-04T12:03:29.490-07:00,2016-04-04T12:03:29.773-07:00,2016-04-04T12:03:32.999-07:00
9b7ee584-b330-4c04-9d1f-f5b743f75779,n4j6-wkkf,2016-04-10T09:03:26.531-07:00,2016-04-10T09:03:26.870-07:00,2016-04-10T09:03:29.122-07:00
5dc9436e-2eac-47a0-b066-6c62b44a9caa,t2qc-9pjd,2016-04-16T21:33:27.391-07:00,2016-04-16T21:33:27.678-07:00,2016-04-16T21:33:29.531-07:00
286b6158-29e6-4daf-b83b-ead50dfc2d03,n4j6-wkkf,2016-04-05T02:48:28.464-07:00,2016-04-05T02:48:28.784-07:00,2016-04-05T02:48:30.876-07:00
ed5fc663-11fb-4686-bc80-951d2905c2b3,ygr5-vcbg,2016-04-11T11:16:26.547-07:00,2016-04-11T11:16:26.850-07:00,2016-04-11T11:16:28.407-07:00
d9c42a2d-4a28-497e-9a8c-c8554d2bacbf,n4j6-wkkf,2016-04-04T00:18:26.696-07:00,2016-04-04T00:18:26.991-07:00,2016-04-04T00:18:30.567-07:00
a3c1b6ad-15f6-4b4f-b7c1-0fe22f2cfabb,97wa-y6ff,2016-04-17T13:31:09.460-07:00,2016-04-17T13:31:09.814-07:00,2016-04-17T13:31:14.353-07:00
b92cb134-8172-476b-888e-2e72311dc714,ygr5-vcbg,2016-04-13T11:01:28.541-07:00,2016-04-13T11:01:28.921-07:00,2016-04-13T11:01:30.482-07:00
14e3dec6-89c0-4b28-a175-36504bc09a41,p9p7-vfqc,2016-04-07T02:20:24.629-07:00,2016-04-07T02:20:24.901-07:00,2016-04-07T02:20:26.408-07:00
00d8c96f-0317-4364-bd98-4e4c113a6280,ygr5-vcbg,2016-04-17T05:46:27.556-07:00,2016-04-17T05:46:27.908-07:00,2016-04-17T05:46:29.760-07:00
9b15050a-4fd7-4fea-8d48-d0b3ffb3dc63,t2qc-9pjd,2016-04-04T22:48:27.359-07:00,2016-04-04T22:48:27.633-07:00,2016-04-04T22:48:29.450-07:00
669aac37-1b38-419e-a6df-c41843ab3055,t2qc-9pjd,2016-04-04T19:03:27.874-07:00,2016-04-04T19:03:28.139-07:00,2016-04-04T19:03:30.332-07:00
9ce32c5a-8b54-4e5d-b90e-97aecbc296a2,ygr5-vcbg,2016-04-15T01:16:34.442-07:00,2016-04-15T01:16:34.820-07:00,2016-04-15T01:16:36.052-07:00
c824d02b-86bd-461e-b043-91915e7656f6,5k2z-suxx,2016-04-04T08:31:27.770-07:00,2016-04-04T08:31:28.155-07:00,2016-04-04T08:31:30.376-07:00
c40618dc-b605-43f4-a070-8b41332da19e,5k2z-suxx,2016-04-09T21:46:26.381-07:00,2016-04-09T21:46:26.647-07:00,2016-04-09T21:46:27.624-07:00
2801199a-2819-43cb-a2c5-b03787884739,ygr5-vcbg,2016-04-10T10:46:24.616-07:00,2016-04-10T10:46:24.934-07:00,2016-04-10T10:46:26.623-07:00
fc3fbb65-ec5e-4004-a35e-ed9faeb99bae,ygr5-vcbg,2016-04-23T12:31:27.788-07:00,2016-04-23T12:31:28.163-07:00,2016-04-23T12:31:29.800-07:00
a2757648-0df1-4bd7-a45d-a43db29c9df3,tfm3-3j95,2016-04-01T01:01:18.184-07:00,2016-04-01T01:01:18.498-07:00,2016-04-01T01:01:24.159-07:00
4a8b65b8-b6c6-457d-9550-bb708896e5cf,n4j6-wkkf,2016-03-30T23:48:26.733-07:00,2016-03-30T23:48:27.079-07:00,2016-03-30T23:48:29.436-07:00
81b19d6e-bc8e-4926-9e81-dd3bb8e6cef0,t2qc-9pjd,2016-04-06T18:18:24.975-07:00,2016-04-06T18:18:25.231-07:00,2016-04-06T18:18:26.985-07:00
1ac8f406-c4e6-46c5-ab83-8e4e4013dbe2,n4j6-wkkf,2016-04-16T03:33:31.215-07:00,2016-04-16T03:33:31.794-07:00,2016-04-16T03:33:34.509-07:00
de20c3cc-3d90-427b-bf4a-e993b1504d50,s4vu-giwb,2016-04-15T01:31:58.468-07:00,2016-04-15T01:31:58.935-07:00,2016-04-15T01:33:42.992-07:00
7ee75b9f-9855-4ffa-a80a-a6173e809e30,5k2z-suxx,2016-04-16T08:16:29.093-07:00,2016-04-16T08:16:29.553-07:00,2016-04-16T08:16:31.343-07:00
98eaf3cf-0897-4041-b447-a7b7f8f25024,t2qc-9pjd,2016-04-13T07:48:27.314-07:00,2016-04-13T07:48:27.738-07:00,2016-04-13T07:48:29.878-07:00
4ba081dd-739c-48ce-9e67-745f343ea027,n4j6-wkkf,2016-04-02T22:48:29.222-07:00,2016-04-02T22:48:29.582-07:00,2016-04-02T22:48:32.039-07:00
558220e5-f006-4e6b-ba0a-49c431c77988,5k2z-suxx,2016-03-29T00:01:27.362-07:00,2016-03-29T00:01:27.702-07:00,2016-03-29T00:01:28.513-07:00
